255,0,0 0,255,0 0,0,255 255,255,0 0,255,255 255,0,255 128,128,128 64,64,64 32,32,32 0,0,0 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128 0,255,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,255,255 128,128,128 0,0,0 255,0,255 0,255,255 255,255,0 0,0,255 255,0,0 255,0,0 255,0,0 32,32,32 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,0,0 0,255,0 0,0,255 255,255,0 0,255,255 255,0,255 128,128,128 64,64,64 32,32,32 0,0,0 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128 0,255,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 255,0,0 255,0,0 255,0,0 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,255,255 128,128,128 0,0,0 255,0,255 0,255,255 255,255,0 0,0,255 255,0,0 255,0,0 255,0,0 32,32,32 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,0,0 0,255,0 0,0,255 255,255,0 0,255,255 255,0,255 128,128,128 64,64,64 32,32,32 0,0,0 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128 0,255,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,255,255 128,128,128 0,0,0 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0 64,64,64 32,32,32 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,0,0 0,255,0 0,0,255 255,255,0 0,255,255 255,0,255 128,128,128 64,64,64 32,32,32 0,0,0 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128 0,255,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
255,255,255 128,128,128 0,0,0 255,0,255 0,255,255 255,255,0 0,0,255 255,0,0 255,0,0 64,64,64 32,32,32 255,128,0 128,255,0 0,128,255 128,0,255 255,0,128
0,255,128 255,0,128 128,0,255 0,128,255 128,255,0 255,128,0 0,0,0 32,32,32 64,64,64 128,128,128 255,0,255 0,255,255 255,255,0 0,0,255 0,255,0 255,0,0
